"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g1340",2712.15485031126,1.56588380233377,0.382521302654882,4.09358587735057,4.24752655835545e-05,0.00040627471544044
"g370",33.6485319866158,2.35516158487294,0.575813144227987,4.0901490500544,4.31096061818403e-05,0.000410025636325031
"g1767",389.344700703504,1.76957005787441,0.433416022210416,4.08284412018187,4.44878651805705e-05,0.00042077070251791
"g1870",405.77879559383,2.3004095783306,0.564008196319317,4.07868111375496,4.52919109962178e-05,0.000425995585092204
"g1568",466.138188271819,1.81105345115871,0.445020625606595,4.06959441192218,4.70950523536522e-05,0.000440507865385266
"g1032",19.9555151328976,4.14906476770092,1.02675407588316,4.04095280959281,5.32344709049602e-05,0.000495197578253283
"g941",1661.74780490844,-2.93903609572896,0.729110121279356,-4.0309906692447,5.55422488901242e-05,0.000513841679622843
"g2002",14.4928647451766,-7.20617600116329,1.79292304916956,-4.01923328750836,5.83878363631978e-05,0.000536104375330328
"g1225",291.914670103007,1.1371512065326,0.282982474794258,4.0184509919187,5.85819902162497e-05,0.000536104375330328
"g1679",538.532597323014,1.81771370696188,0.454492220270396,3.99943855118234,6.34929301751815e-05,0.000577922208530012
"g1084",260.203391031755,-1.51416560803196,0.380204457694643,-3.98250356456378,6.81931017107445e-05,0.000617384605327756
"g1273",187.849746820254,-2.67252397445622,0.672225701028662,-3.97563492494655,7.0191734068766e-05,0.000632098966906494
"g743",2344.14339170665,1.23751171998115,0.311589900368783,3.97160408125068,7.13902974638831e-05,0.000639490865642085
"g718",13.7787847457157,4.08478179936036,1.03193130425528,3.9583853910782,7.54581337095024e-05,0.000672371686158882
"g432",45.0544644923903,-2.35522757909234,0.595744764745437,-3.95341716531698,7.70429433789284e-05,0.000682898969322124
"g1675",457.403989688893,-1.35013447273573,0.342239191957751,-3.94500251421351,7.97991413267903e-05,0.000703645553470084
"g1872",306.2768826369,-1.6885059647662,0.429106983382125,-3.9349300527756,8.322092949763e-05,0.000730015718339314
"g203",1874.08170367127,2.09628476948988,0.533883207472402,3.92648568104334,8.61960211467879e-05,0.000752215792791299
