"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g182",377.615705744515,2.46648870598813,0.488909625710422,5.04487655035251,4.53814274001197e-07,9.14651864147651e-06
"g11",318.118110903978,-2.28382656024981,0.453816245356772,-5.03249185902185,4.84145172463343e-07,9.64303267035811e-06
"g1984",110.035133836633,-2.6902192502701,0.536728226063842,-5.01225596052426,5.37955790868727e-07,1.05902227202413e-05
"g1983",469.166857732734,-2.82337539859011,0.567121380283153,-4.97843230170665,6.41013563273067e-07,1.2473976581854e-05
"g2005",228.079056036558,-3.58182275185097,0.721034885757198,-4.967613665585,6.77818292506996e-07,1.3040299650163e-05
"g727",888.761531149864,-1.70358883385246,0.343834515680406,-4.95467661378109,7.24506832836791e-07,1.37819108763223e-05
"g678",743.644602271519,-1.66557456275812,0.337295214556629,-4.93803199949781,7.89148958923925e-07,1.48447687495356e-05
"g940",1121.84811987049,-1.60390331699447,0.325538164946441,-4.92692866674587,8.35322329321977e-07,1.55406670718913e-05
"g1544",236.976704538436,1.81131208272459,0.368750674387018,4.91202378337497,9.01411155830302e-07,1.65879248567468e-05
"g1514",45.6895977679102,-2.19416939914161,0.451581443978312,-4.8588564220256,1.18065711059513e-06,2.1384416363406e-05
"g283",15.3413439298573,7.48663517110898,1.54117604187648,4.85774172948699,1.18732140470181e-06,2.1384416363406e-05
"g554",39.4042482302329,3.84888674892334,0.793007736220682,4.85352988769866,1.21283053328589e-06,2.16139167668737e-05
"g512",23.9231838646043,-6.96307875182827,1.44224783987454,-4.82793494940092,1.37956138815622e-06,2.43291398973799e-05
"g1531",648.04601078395,2.97658734482856,0.622268415556208,4.78344597028593,1.72315225005379e-06,3.00752243231038e-05
"g522",17.2566062404258,5.17973042465714,1.08428729379046,4.77708302432447,1.77856353132898e-06,3.07255924340812e-05
"g312",201.989112483047,-3.53367265396567,0.740590351792511,-4.7714268021624,1.82925458684037e-06,3.12821011668763e-05
"g1790",367.183214266641,-1.53462991993122,0.321971839311741,-4.76634827198461,1.87594880199116e-06,3.17598132177103e-05
"g1914",2127.1315120566,2.44838634925833,0.51462964446732,4.75756959510676,1.95937714235837e-06,3.27088298637813e-05
"g1469",296.942989971176,-2.48102164785217,0.521616257870119,-4.7564116540055,1.97064420915871e-06,3.27088298637813e-05
"g1377",46.7480229673317,-4.50618426132526,0.949711455931773,-4.74479299284032,2.08719671037914e-06,3.43070294239989e-05
"g1530",13647.1382742278,3.10887073628404,0.656147550382944,4.73806651334693,2.15766998470513e-06,3.49655054809204e-05
