"GO.ID","Term","Annotated","Significant","Expected","Fisher","padj"
"GO:0034605","cellular response to heat",6,3,1.72,0.2301,0.986233576642336
"GO:0042364","water-soluble vitamin biosynthetic proce...",6,3,1.72,0.2301,0.986233576642336
"GO:0044743","protein transmembrane import into intrac...",6,3,1.72,0.2301,0.986233576642336
"GO:0045862","positive regulation of proteolysis",6,3,1.72,0.2301,0.986233576642336
"GO:0045936","negative regulation of phosphate metabol...",6,3,1.72,0.2301,0.986233576642336
"GO:0048582","positive regulation of post-embryonic de...",6,3,1.72,0.2301,0.986233576642336
"GO:0048598","embryonic morphogenesis",6,3,1.72,0.2301,0.986233576642336
"GO:0070141","response to UV-A",6,3,1.72,0.2301,0.986233576642336
"GO:0071484","cellular response to light intensity",6,3,1.72,0.2301,0.986233576642336
"GO:0071486","cellular response to high light intensit...",6,3,1.72,0.2301,0.986233576642336
"GO:0071492","cellular response to UV-A",6,3,1.72,0.2301,0.986233576642336
"GO:0072655","establishment of protein localization to...",6,3,1.72,0.2301,0.986233576642336
"GO:0098813","nuclear chromosome segregation",6,3,1.72,0.2301,0.986233576642336
"GO:0009791","post-embryonic development",86,28,24.62,0.2301,0.986233576642336
"GO:0141187","nucleic acid biosynthetic process",133,42,38.08,0.2319,0.986233576642336
"GO:0016311","dephosphorylation",18,7,5.15,0.2333,0.986233576642336
"GO:0008219","cell death",15,6,4.29,0.2372,0.986233576642336
"GO:0019220","regulation of phosphate metabolic proces...",15,6,4.29,0.2372,0.986233576642336
"GO:0051174","regulation of phosphorus metabolic proce...",15,6,4.29,0.2372,0.986233576642336
"GO:0090696","post-embryonic plant organ development",15,6,4.29,0.2372,0.986233576642336
"GO:0006479","protein methylation",9,4,2.58,0.2386,0.986233576642336
"GO:0008213","protein alkylation",9,4,2.58,0.2386,0.986233576642336
"GO:0009723","response to ethylene",9,4,2.58,0.2386,0.986233576642336
"GO:0010029","regulation of seed germination",9,4,2.58,0.2386,0.986233576642336
"GO:0017038","protein import",9,4,2.58,0.2386,0.986233576642336
"GO:0043934","sporulation",9,4,2.58,0.2386,0.986233576642336
"GO:1900140","regulation of seedling development",9,4,2.58,0.2386,0.986233576642336
"GO:1902275","regulation of chromatin organization",9,4,2.58,0.2386,0.986233576642336
"GO:0009411","response to UV",12,5,3.44,0.2396,0.986233576642336
"GO:0044272","sulfur compound biosynthetic process",12,5,3.44,0.2396,0.986233576642336
"GO:0051130","positive regulation of cellular componen...",12,5,3.44,0.2396,0.986233576642336
"GO:0051338","regulation of transferase activity",12,5,3.44,0.2396,0.986233576642336
"GO:0018193","peptidyl-amino acid modification",34,12,9.74,0.2422,0.986233576642336
"GO:0006996","organelle organization",100,32,28.63,0.2447,0.986233576642336
"GO:0009058","biosynthetic process",320,96,91.62,0.2577,0.986233576642336
"GO:0022622","root system development",28,10,8.02,0.2582,0.986233576642336
"GO:0032259","methylation",28,10,8.02,0.2582,0.986233576642336
"GO:0048364","root development",28,10,8.02,0.2582,0.986233576642336
"GO:0065003","protein-containing complex assembly",41,14,11.74,0.2611,0.986233576642336
"GO:0040007","growth",51,17,14.6,0.2669,0.986233576642336
"GO:0009100","glycoprotein metabolic process",22,8,6.3,0.2756,0.986233576642336
"GO:0042440","pigment metabolic process",22,8,6.3,0.2756,0.986233576642336
"GO:0048229","gametophyte development",22,8,6.3,0.2756,0.986233576642336
"GO:0007154","cell communication",105,33,30.06,0.2817,0.986233576642336
"GO:0046148","pigment biosynthetic process",19,7,5.44,0.2848,0.986233576642336
"GO:0032870","cellular response to hormone stimulus",45,15,12.88,0.2861,0.986233576642336
"GO:0065007","biological regulation",277,83,79.31,0.2924,0.986233576642336
"GO:0009894","regulation of catabolic process",16,6,4.58,0.2943,0.986233576642336
"GO:0051253","negative regulation of RNA metabolic pro...",16,6,4.58,0.2943,0.986233576642336
"GO:0043687","post-translational protein modification",42,14,12.03,0.2965,0.986233576642336
"GO:0009059","macromolecule biosynthetic process",229,69,65.57,0.2997,0.986233576642336
"GO:0007178","cell surface receptor protein serine/thr...",13,5,3.72,0.304,0.986233576642336
"GO:0009611","response to wounding",13,5,3.72,0.304,0.986233576642336
"GO:0009637","response to blue light",13,5,3.72,0.304,0.986233576642336
"GO:0071215","cellular response to abscisic acid stimu...",13,5,3.72,0.304,0.986233576642336
"GO:0090558","plant epidermis development",13,5,3.72,0.304,0.986233576642336
"GO:0097306","cellular response to alcohol",13,5,3.72,0.304,0.986233576642336
"GO:0001932","regulation of protein phosphorylation",10,4,2.86,0.3135,0.986233576642336
